,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate,stars,descriptions
0,All Quiet on the Western Front,2022,7.9,76.0,57199,,148,"Action, Drama, War            ",R,"
    Director:
Edward Berger
| 
    Stars:
Felix Kammerer, 
Albrecht Schuch, 
Aaron Hilmer, 
Moritz Klaus
","
A young German soldier's terrifying experiences and distress on the western front during World War I."
1,Top Gun: Maverick,2022,8.4,78.0,426559,,130,"Action, Drama            ",PG-13,"
    Director:
Joseph Kosinski
| 
    Stars:
Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer
","
After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
2,Kantara,2022,9.1,,66410,,148,"Action, Adventure, Drama            ",,"
    Director:
Rishab Shetty
| 
    Stars:
Rishab Shetty, 
Sapthami Gowda, 
Kishore Kumar G., 
Achyuth Kumar
","
It involves culture of Kambla and Bhootha Kola. A human and nature conflict where Shiva is a rebel who defends his village and nature. A death leads to war between villagers and evil forces. Will he able to regain peace in the village?"
3,Everything Everywhere All at Once,2022,8.1,81.0,236281,,139,"Action, Adventure, Comedy            ",R,"
    Directors:
Dan Kwan, 
Daniel Scheinert
| 
    Stars:
Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan
","
An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led."
4,The Batman,2022,7.9,72.0,621124,,176,"Action, Crime, Drama            ",PG-13,"
    Director:
Matt Reeves
| 
    Stars:
Robert Pattinson, 
Zoë Kravitz, 
Jeffrey Wright, 
Colin Farrell
","
When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
5,Avatar,2009,7.8,83.0,1244548,760.51,162,"Action, Adventure, Fantasy            ",PG-13,"
    Director:
James Cameron
| 
    Stars:
Sam Worthington, 
Zoe Saldana, 
Sigourney Weaver, 
Michelle Rodriguez
","
A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
6,The Shawshank Redemption,1994,9.3,81.0,2661406,28.34,142,Drama            ,R,"
    Director:
Frank Darabont
| 
    Stars:
Tim Robbins, 
Morgan Freeman, 
Bob Gunton, 
William Sadler
","
Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
7,The Godfather,1972,9.2,100.0,1844404,134.97,175,"Crime, Drama            ",R,"
    Director:
Francis Ford Coppola
| 
    Stars:
Marlon Brando, 
Al Pacino, 
James Caan, 
Diane Keaton
","
The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son."
8,Harry Potter and the Sorcerer's Stone,2001,7.6,65.0,775584,317.58,152,"Adventure, Family, Fantasy            ",PG,"
    Director:
Chris Columbus
| 
    Stars:
Daniel Radcliffe, 
Rupert Grint, 
Richard Harris, 
Maggie Smith
","
An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
9,A Christmas Story,1983,7.9,77.0,148821,20.61,93,"Comedy, Family            ",PG,"
    Director:
Bob Clark
| 
    Stars:
Peter Billingsley, 
Melinda Dillon, 
Darren McGavin, 
Scott Schwartz
","
In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
