,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
0,All Quiet on the Western Front,2022,7.9,76.0,50499,,148,"Action, Drama, War            ",R
1,Halloween,1978,7.7,87.0,281306,47.0,91,"Horror, Thriller            ",R
2,Top Gun: Maverick,2022,8.4,78.0,423684,,130,"Action, Drama            ",PG-13
3,The Nightmare Before Christmas,1993,7.9,82.0,338692,75.08,76,"Animation, Family, Fantasy            ",PG
4,Everything Everywhere All at Once,2022,8.1,81.0,234644,,139,"Action, Adventure, Comedy            ",R
5,Kantara,2022,9.1,,65324,,148,"Action, Adventure, Drama            ",
6,The Batman,2022,7.9,72.0,619564,,176,"Action, Crime, Drama            ",PG-13
7,All Quiet on the Western Front,1930,8.1,91.0,62671,3.27,152,"Drama, War            ",Passed
8,Avatar,2009,7.8,83.0,1243946,760.51,162,"Action, Adventure, Fantasy            ",PG-13
9,A Christmas Story,1983,7.9,77.0,148622,20.61,93,"Comedy, Family            ",PG
10,The Shining,1980,8.4,66.0,1016181,44.02,146,"Drama, Horror            ",R
11,American Psycho,2000,7.6,64.0,611465,15.07,102,"Crime, Drama, Horror            ",R
12,The Exorcist,1973,8.1,81.0,407602,232.91,122,Horror            ,R
13,Harry Potter and the Sorcerer's Stone,2001,7.6,65.0,775094,317.58,152,"Adventure, Family, Fantasy            ",PG
14,The Shawshank Redemption,1994,9.3,81.0,2660283,28.34,142,Drama            ,R
15,Ghostbusters,1984,7.8,71.0,415442,238.63,105,"Action, Comedy, Fantasy            ",PG
16,The Godfather,1972,9.2,100.0,1843646,134.97,175,"Crime, Drama            ",R
17,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92.0,1863214,315.54,178,"Action, Adventure, Drama            ",PG-13
18,Interstellar,2014,8.6,74.0,1805988,188.02,169,"Adventure, Drama, Sci-Fi            ",PG-13
19,Pulp Fiction,1994,8.9,94.0,2036264,107.93,154,"Crime, Drama            ",R
20,Spider-Man: No Way Home,2021,8.3,71.0,742490,804.75,148,"Action, Adventure, Fantasy            ",PG-13
21,Get Out,2017,7.7,85.0,603947,176.04,104,"Horror, Mystery, Thriller            ",R
22,Coco,2017,8.4,81.0,502747,209.73,105,"Animation, Adventure, Comedy            ",PG
23,The Thing,1982,8.2,57.0,424406,13.78,109,"Horror, Mystery, Sci-Fi            ",R
24,The Dark Knight,2008,9.0,84.0,2633215,534.86,152,"Action, Crime, Drama            ",PG-13
25,Fight Club,1999,8.8,66.0,2105533,37.03,139,Drama            ,R
26,Coraline,2009,7.7,80.0,230172,75.29,100,"Animation, Drama, Family            ",PG
27,Dune,2021,8.0,74.0,623549,108.33,155,"Action, Adventure, Drama            ",PG-13
28,The Silence of the Lambs,1991,8.6,85.0,1423255,130.74,118,"Crime, Drama, Thriller            ",R
29,Rogue One: A Star Wars Story,2016,7.8,65.0,632856,532.18,133,"Action, Adventure, Sci-Fi            ",PG-13
30,The Wolf of Wall Street,2013,8.2,75.0,1394747,116.9,180,"Biography, Comedy, Crime            ",R
31,Knives Out,2019,7.9,82.0,620365,165.36,130,"Comedy, Crime, Drama            ",PG-13
32,Joker,2019,8.4,59.0,1263604,335.45,122,"Crime, Drama, Thriller            ",R
33,Edward Scissorhands,1990,7.9,74.0,490805,56.36,105,"Drama, Fantasy, Romance            ",PG-13
34,Once Upon a Time in Hollywood,2019,7.6,83.0,728302,142.5,161,"Comedy, Drama            ",R
35,Parasite,2019,8.5,96.0,789988,53.37,132,"Drama, Thriller            ",R
36,E.T. the Extra-Terrestrial,1982,7.9,91.0,409232,435.11,115,"Adventure, Family, Sci-Fi            ",PG
37,The Goonies,1985,7.7,62.0,274267,61.5,114,"Adventure, Comedy, Family            ",PG
38,Young Frankenstein,1974,8.0,80.0,159247,86.3,106,Comedy            ,PG
39,The Sixth Sense,1999,8.2,64.0,988981,293.51,107,"Drama, Mystery, Thriller            ",PG-13
40,Avengers: Endgame,2019,8.4,78.0,1116163,858.37,181,"Action, Adventure, Drama            ",PG-13
41,Inception,2010,8.8,74.0,2333322,292.58,148,"Action, Adventure, Sci-Fi            ",PG-13
42,Goodfellas,1990,8.7,90.0,1152761,46.84,145,"Biography, Crime, Drama            ",R
43,The Gentlemen,2019,7.8,51.0,336556,36.47,113,"Action, Comedy, Crime            ",R
44,Titanic,1997,7.9,75.0,1165976,659.33,194,"Drama, Romance            ",PG-13
45,Back to the Future,1985,8.5,87.0,1196272,210.61,116,"Adventure, Comedy, Sci-Fi            ",PG
46,Forrest Gump,1994,8.8,82.0,2061443,330.25,142,"Drama, Romance            ",PG-13
47,Se7en,1995,8.6,65.0,1639365,100.13,127,"Crime, Drama, Mystery            ",R
48,American Beauty,1999,8.4,84.0,1151068,130.1,122,Drama            ,R
49,Alien,1979,8.5,89.0,878132,78.9,117,"Horror, Sci-Fi            ",R
50,Jurassic Park,1993,8.2,68.0,983895,402.45,127,"Action, Adventure, Sci-Fi            ",PG-13
51,Blade Runner 2049,2017,8.0,81.0,567023,92.05,164,"Action, Drama, Mystery            ",R
52,In Bruges,2008,7.9,67.0,426019,7.76,107,"Comedy, Crime, Drama            ",R
53,Inglourious Basterds,2009,8.3,69.0,1437723,120.54,153,"Adventure, Drama, War            ",R
54,Inside Man,2006,7.6,76.0,373766,88.51,129,"Crime, Drama, Mystery            ",R
55,1917,2019,8.2,78.0,582196,159.23,119,"Action, Drama, War            ",R
56,RRR,2022,8.0,83.0,114857,,187,"Action, Drama            ",Not Rated
57,The Lord of the Rings: The Return of the King,2003,9.0,94.0,1834339,377.85,201,"Action, Adventure, Drama            ",PG-13
58,Léon: The Professional,1994,8.5,64.0,1154485,19.5,110,"Action, Crime, Drama            ",R
59,Schindler's List,1993,9.0,94.0,1347393,96.9,195,"Biography, Drama, History            ",R
60,Whiplash,2014,8.5,88.0,850341,13.09,106,"Drama, Music            ",R
61,Pan's Labyrinth,2006,8.2,98.0,667864,37.63,118,"Drama, Fantasy, War            ",R
62,Zack Snyder's Justice League,2021,8.0,54.0,395001,,242,"Action, Adventure, Fantasy            ",R
63,The Princess Bride,1987,8.0,77.0,427285,30.86,98,"Adventure, Family, Fantasy            ",PG
64,Saw,2004,7.6,46.0,422386,56.0,103,"Horror, Mystery, Thriller            ",R
65,Gladiator,2000,8.5,67.0,1490977,187.71,155,"Action, Adventure, Drama            ",R
66,Shutter Island,2010,8.2,63.0,1302774,128.01,138,"Mystery, Thriller            ",R
67,Deadpool 2,2018,7.7,66.0,578906,324.59,119,"Action, Adventure, Comedy            ",R
68,Psycho,1960,8.5,97.0,669591,32.0,109,"Horror, Mystery, Thriller            ",R
69,The Matrix,1999,8.7,73.0,1901117,171.48,136,"Action, Sci-Fi            ",R
70,Harry Potter and the Goblet of Fire,2005,7.7,81.0,623663,290.01,157,"Adventure, Family, Fantasy            ",PG-13
71,A Clockwork Orange,1971,8.3,77.0,827167,6.21,136,"Crime, Sci-Fi            ",R
72,Django Unchained,2012,8.4,81.0,1541130,162.81,165,"Drama, Western            ",R
73,Guardians of the Galaxy,2014,8.0,76.0,1171774,333.18,121,"Action, Adventure, Comedy            ",PG-13
74,Deadpool,2016,8.0,65.0,1031290,363.07,108,"Action, Adventure, Comedy            ",R
75,Home Alone,1990,7.7,63.0,565330,285.76,103,"Comedy, Family            ",PG
76,Kingsman: The Secret Service,2014,7.7,60.0,666044,128.26,129,"Action, Adventure, Comedy            ",R
77,12 Angry Men,1957,9.0,96.0,785531,4.36,96,"Crime, Drama            ",Approved
78,Donnie Darko,2001,8.0,88.0,799637,1.48,113,"Drama, Mystery, Sci-Fi            ",R
79,The Departed,2006,8.5,85.0,1317505,132.38,151,"Crime, Drama, Thriller            ",R
80,The Hobbit: An Unexpected Journey,2012,7.8,58.0,826680,303.0,169,"Adventure, Fantasy            ",PG-13
81,Spirited Away,2001,8.6,96.0,757656,10.06,125,"Animation, Adventure, Family            ",PG
82,Requiem for a Dream,2000,8.3,68.0,838807,3.64,102,Drama            ,R
83,Star Wars: Episode IV - A New Hope,1977,8.6,90.0,1357548,322.74,121,"Action, Adventure, Fantasy            ",PG
84,The Prestige,2006,8.5,66.0,1325293,53.09,130,"Drama, Mystery, Sci-Fi            ",PG-13
85,The Green Mile,1999,8.6,61.0,1292667,136.8,189,"Crime, Drama, Fantasy            ",R
86,Black Swan,2010,8.0,79.0,764907,106.95,108,"Drama, Thriller            ",R
87,Rosemary's Baby,1968,8.0,96.0,217763,,137,"Drama, Horror            ",Approved
88,Taxi Driver,1976,8.2,94.0,826718,28.26,114,"Crime, Drama            ",R
89,Little Women,2019,7.8,91.0,203694,108.1,135,"Drama, Romance            ",PG
90,Stand by Me,1986,8.1,75.0,403409,52.29,89,"Adventure, Drama            ",R
91,Almost Famous,2000,7.9,90.0,276790,32.53,122,"Adventure, Comedy, Drama            ",R
92,The Lord of the Rings: The Two Towers,2002,8.8,87.0,1656320,342.55,179,"Action, Adventure, Drama            ",PG-13
93,Aliens,1986,8.4,84.0,715366,85.16,137,"Action, Adventure, Sci-Fi            ",R
94,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,631205,249.36,142,"Adventure, Family, Fantasy            ",PG
95,Prisoners,2013,8.1,70.0,706583,61.0,153,"Crime, Drama, Mystery            ",R
96,The Grand Budapest Hotel,2014,8.1,88.0,804295,59.1,99,"Adventure, Comedy, Crime            ",R
97,No Country for Old Men,2007,8.2,92.0,967402,74.28,122,"Crime, Drama, Thriller            ",R
98,The Bride of Frankenstein,1935,7.8,95.0,49312,4.36,75,"Drama, Horror, Sci-Fi            ",Not Rated
99,The Big Lebowski,1998,8.1,71.0,806116,17.5,117,"Comedy, Crime            ",R
100,Mad Max: Fury Road,2015,8.1,90.0,996816,154.06,120,"Action, Adventure, Sci-Fi            ",R
101,Avengers: Infinity War,2018,8.4,68.0,1068999,678.82,149,"Action, Adventure, Sci-Fi            ",PG-13
102,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,870563,381.01,130,"Adventure, Family, Fantasy            ",PG-13
103,Kick-Ass,2010,7.6,66.0,563076,48.07,117,"Action, Comedy, Crime            ",R
104,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,63.0,1122484,305.41,143,"Action, Adventure, Fantasy            ",PG-13
105,Good Will Hunting,1997,8.3,70.0,961956,138.43,126,"Drama, Romance            ",R
106,Call Me by Your Name,2017,7.8,93.0,271660,18.1,132,"Drama, Romance            ",R
107,Ford v Ferrari,2019,8.1,81.0,389924,117.62,152,"Action, Biography, Drama            ",PG-13
108,The Notebook,2004,7.8,53.0,571964,81.0,123,"Drama, Romance            ",PG-13
109,Thirteen Lives,2022,7.8,66.0,49028,,147,"Action, Adventure, Biography            ",PG-13
110,Oldboy,2003,8.4,77.0,577065,0.71,120,"Action, Drama, Mystery            ",R
111,Stardust,2007,7.6,66.0,273295,38.63,127,"Adventure, Family, Fantasy            ",PG-13
112,City of God,2002,8.6,79.0,754215,7.56,130,"Crime, Drama            ",R
113,The Hangover,2009,7.7,73.0,783675,277.32,100,Comedy            ,R
114,Hacksaw Ridge,2016,8.1,71.0,522488,67.21,139,"Biography, Drama, History            ",R
115,One Flew Over the Cuckoo's Nest,1975,8.7,84.0,1003599,112.0,133,Drama            ,R
116,Night of the Living Dead,1968,7.8,89.0,130087,0.09,96,"Horror, Thriller            ",Not Rated
117,Scarface,1983,8.3,65.0,836499,45.6,170,"Crime, Drama            ",R
118,Eternal Sunshine of the Spotless Mind,2004,8.3,89.0,1002958,34.4,108,"Drama, Romance, Sci-Fi            ",R
